sample,taxon,genome
TDM035,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM035_candidatus_nitrosotenuis.fa
TDM006,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM006_candidatus_nitrosotenuis.fa
TDM057,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM057_candidatus_nitrosotenuis.fa
TDM010,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM010_candidatus_nitrosotenuis.fa
TDM045,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM045_candidatus_nitrosotenuis.fa
TDM028,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM028_candidatus_nitrosotenuis.fa
TDM025,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM025_candidatus_nitrosotenuis.fa
TDM046,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM046_candidatus_nitrosotenuis.fa
TDM020,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM020_candidatus_nitrosotenuis.fa
TDM011,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM011_candidatus_nitrosotenuis.fa
TDM039,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM039_candidatus_nitrosotenuis.fa
TDM031,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM031_candidatus_nitrosotenuis.fa
TDM002,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM002_candidatus_nitrosotenuis.fa
TDM029,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM029_candidatus_nitrosotenuis.fa
TDM004,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM004_candidatus_nitrosotenuis.fa
TDM021,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM021_candidatus_nitrosotenuis.fa
TDM040,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM040_candidatus_nitrosotenuis.fa
TDM044,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM044_candidatus_nitrosotenuis.fa
TDM048,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_candidatus_nitrosotenuis.fa
TDM018,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_candidatus_nitrosotenuis.fa
TDM026,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_candidatus_nitrosotenuis.fa
TDM041,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_candidatus_nitrosotenuis.fa
TDM032,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_candidatus_nitrosotenuis.fa
TDM059,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM059_candidatus_nitrosotenuis.fa
TDM047,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_candidatus_nitrosotenuis.fa
TDM050,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_candidatus_nitrosotenuis.fa
TDM058,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM058_candidatus_nitrosotenuis.fa
TDM033,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_nitrosotalea.fa
TDM042,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_nitrosotalea.fa
TDM056,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM056_nitrosotalea.fa
TDM030,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_nitrosotalea.fa
TDM001,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM001_nitrosotalea.fa
TDM038,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_nitrosotalea.fa
TDM051,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_nitrosotalea.fa
TDM017,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_nitrosotalea.fa
TDM019,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_nitrosotalea.fa
TDM055,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM055_nitrosotalea.fa
TDM036,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_nitrosotalea.fa
